Area,Location,Price,Room,Bathroom,House Type,Square Feet
Kuala-Lumpur,     Jalan Ipoh    ,    RM 620 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1200 sq.ft
Kuala-Lumpur,     Jalan Ampang    ,    RM 750 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1400 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 430 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1280 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 455 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,850 sq.ft
Kuala-Lumpur,     Bandar Tasik Selatan    ,    RM 220 000     , 3 Bedrooms , 1 Bathroom , Apartments ,650 sq.ft
Kuala-Lumpur,     KLCC    ,    RM 380 000     , 1 Bedroom , 1 Bathroom , Apartments ,460 sq.ft
Kuala-Lumpur,     Segambut    ,    RM 420 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1100 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 275 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,915 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 855 000     , 4 Bedrooms , 4 Bathrooms , Apartments ,1507 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 235 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,667 sq.ft
Kuala-Lumpur,     Keramat    ,    RM 560 000     , 3 Bedrooms , 2 Bathrooms , Houses ,1650 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 459 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1180 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 540 000     , 4 Bedrooms , 2 Bathrooms , Houses ,3100 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 418 000     , 2 Bedrooms , 1 Bathroom , Apartments ,635 sq.ft
Kuala-Lumpur,     Desa ParkCity    ,    RM 1 200 000     , 3 Bedrooms , 3 Bathrooms , Apartments ,1378 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 415 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,932 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 277 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1050 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 248 000     , 3 Bedrooms , 1 Bathroom , Apartments ,715 sq.ft
Kuala-Lumpur,     Old Klang Road    ,    RM 520 572     , 2 Bedrooms , 2 Bathrooms , Apartments ,788 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 440 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1018 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 330 000     , 1 Bedroom , 1 Bathroom , Apartments ,533 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 640 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1400 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 230 000     , 2 Bedrooms , 1 Bathroom , Apartments ,775 sq.ft
Kuala-Lumpur,     Gombak    ,    RM 420 000     , 4 Bedrooms , 2 Bathrooms , Houses ,770 sq.ft
Kuala-Lumpur,     KLCC    ,    RM 680 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,697 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 560 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1059 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 440 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,918 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 1 550 000     , 5 Bedrooms , 5 Bathrooms , Houses ,3850 sq.ft
Kuala-Lumpur,     Ampang Hilir    ,    RM 319 999     , 3 Bedrooms , 2 Bathrooms , Apartments ,714 sq.ft
