Area,Location,Price,Room,Bathroom,House Type,Square Feet
Kuala-Lumpur,     Bukit Jalil    ,    RM 235 000     , 2 Bedrooms , 1 Bathroom , Apartments ,775 sq.ft
Kuala-Lumpur,     KL City    ,    RM 900 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,1055 sq.ft
Kuala-Lumpur,     Taman Melawati    ,    RM 2 600 000     , 5 Bedrooms , 5 Bathrooms , Houses ,4350 sq.ft
Kuala-Lumpur,     Segambut    ,    RM 990 000     , 4 Bedrooms , 3 Bathrooms , Houses ,2640 sq.ft
Kuala-Lumpur,     Gombak    ,    RM 275 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,800 sq.ft
Kuala-Lumpur,     Sri Damansara    ,    RM 198 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,650 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 390 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1080 sq.ft
Kuala-Lumpur,     Desa Pandan    ,    RM 289 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,722 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 312 000     , 1 Bedroom , 1 Bathroom , Apartments ,660 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 408 000     , 4 Bedrooms , 3 Bathrooms , Apartments ,1834 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 210 000     , 3 Bedrooms , 1 Bathroom , Apartments ,678 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 330 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1006 sq.ft
Kuala-Lumpur,     Setiawangsa    ,    RM 630 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1378 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 350 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,875 sq.ft
Kuala-Lumpur,     Keramat    ,    RM 635 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1378 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 390 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1091 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 360 000     , 1 Bedroom , 1 Bathroom , Apartments ,650 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 630 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1234 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 195 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,850 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 190 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,855 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 530 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1370 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 237 000     , 1 Bedroom , 1 Bathroom , Apartments ,562 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 460 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1000 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 650 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1246 sq.ft
Kuala-Lumpur,     Jalan Kuching    ,    RM 436 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1050 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 215 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1500 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 648 888     , 4 Bedrooms , 3 Bathrooms , Apartments ,1399 sq.ft
Kuala-Lumpur,     Pandan Perdana    ,    RM 499 999     , 2 Bedrooms , 2 Bathrooms , Apartments ,775 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 1 600 000     , 6 Bedrooms , 4 Bathrooms , Houses ,3900 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 90 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,650 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 360 000     , 2 Bedrooms , 1 Bathroom , Apartments ,680 sq.ft
Kuala-Lumpur,     Jalan Ipoh    ,    RM 410 000     , 2 Bedrooms , 1 Bathroom , Apartments ,698 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 230 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,829 sq.ft
Kuala-Lumpur,     Bandar Menjalara    ,    RM 330 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,801 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 280 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,801 sq.ft
Kuala-Lumpur,     Ampang Hilir    ,    RM 320 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,962 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 256 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1507 sq.ft
Kuala-Lumpur,     KLCC    ,    RM 1 600 000     , 3 Bedrooms , 3 Bathrooms , Apartments ,1683 sq.ft
Kuala-Lumpur,     KL City    ,    RM 446 000     , 1 Bedroom , 1 Bathroom , Apartments ,657 sq.ft
Kuala-Lumpur,     Gombak    ,    RM 155 000     , 3 Bedrooms , 1 Bathroom , Apartments ,800 sq.ft
Kuala-Lumpur,     Ampang Hilir    ,    RM 320 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,962 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 520 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,876 sq.ft
Kuala-Lumpur,     Sungai Besi    ,    RM 355 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,888 sq.ft
Kuala-Lumpur,     Setiawangsa    ,    RM 630 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1378 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 550 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,774 sq.ft
Kuala-Lumpur,     Titiwangsa    ,    RM 629 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1380 sq.ft
Kuala-Lumpur,     Jalan Kuching    ,    RM 738 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1650 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 590 000     , 4 Bedrooms , 3 Bathrooms , Apartments ,1378 sq.ft
Kuala-Lumpur,     Old Klang Road    ,    RM 305 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,926 sq.ft
Kuala-Lumpur,     Desa Petaling    ,    RM 160 000     , 2 Bedrooms , 1 Bathroom , Apartments ,510 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 370 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1071 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 490 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1100 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 500 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1100 sq.ft
Kuala-Lumpur,     Old Klang Road    ,    RM 599 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,1399 sq.ft
Kuala-Lumpur,     Jalan Ipoh    ,    RM 608 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1195 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 250 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,992 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 738 000     , 3 Bedrooms , 3 Bathrooms , Apartments ,1454 sq.ft
Kuala-Lumpur,     Kuchai Lama    ,    RM 528 000     , 3 Bedrooms , 2 Bathrooms , Houses ,1340 sq.ft
Kuala-Lumpur,     Taman Melawati    ,    RM 3 500 000     , 6 Bedrooms , 7 Bathrooms , Houses ,7089 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 298 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1001 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 230 000     , 2 Bedrooms , 1 Bathroom , Apartments ,550 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 395 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1025 sq.ft
Kuala-Lumpur,     Jalan Kuching    ,    RM 460 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,900 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 145 000     , 3 Bedrooms , 1 Bathroom , Apartments ,570 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 773 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1800 sq.ft
Kuala-Lumpur,     Bandar Menjalara    ,    RM 299 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,890 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 580 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1440 sq.ft
Kuala-Lumpur,     Taman Desa    ,    RM 400 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,854 sq.ft
Kuala-Lumpur,     Puchong    ,    RM 700 000     , 2 Bedrooms , 3 Bathrooms , Houses ,20 sq.ft
Kuala-Lumpur,     Puchong    ,    RM 699 000     , 5 Bedrooms , 4 Bathrooms , Houses ,1889 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 211 500     , 3 Bedrooms , 2 Bathrooms , Apartments ,958 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 1 200 000     , 4 Bedrooms , 4 Bathrooms , Houses ,3509 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 300 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,801 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 880 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1540 sq.ft
Kuala-Lumpur,     KL City    ,    RM 2 300 000     , 5 Bedrooms , 5 Bathrooms , Apartments ,4569 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 300 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,730 sq.ft
Kuala-Lumpur,     Desa Petaling    ,    RM 260 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,826 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 1 450 000     , 3 Bedrooms , 5 Bathrooms , Apartments ,2336 sq.ft
Kuala-Lumpur,     Kuchai Lama    ,    RM 499 500     , 4 Bedrooms , 3 Bathrooms , Apartments ,1385 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 205 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,850 sq.ft
Kuala-Lumpur,     Bukit Bintang    ,    RM 385 000     , 1 Bedroom , 1 Bathroom , Apartments ,420 sq.ft
Kuala-Lumpur,     Bandar Tasik Selatan    ,    RM 153 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,650 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 690 000     , 3 Bedrooms , 2 Bathrooms , Houses ,2730 sq.ft
Kuala-Lumpur,     Mont Kiara    ,    RM 370 000     , 4 Bedrooms , 3 Bathrooms , Apartments ,1232 sq.ft
Kuala-Lumpur,     Pandan Jaya    ,    RM 595 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1080 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 369 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,877 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 525 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1250 sq.ft
Kuala-Lumpur,     Kuchai Lama    ,    RM 470 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,935 sq.ft
Kuala-Lumpur,     Segambut    ,    RM 370 000     , 2 Bedrooms , 2 Bathrooms , Houses ,900 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 740 000     , 5 Bedrooms , 3 Bathrooms , Houses ,2600 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 850 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1470 sq.ft
Kuala-Lumpur,     KL City    ,    RM 500 000     , 4 Bedrooms , 3 Bathrooms , Apartments ,1650 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 550 000     , 4 Bedrooms , 3 Bathrooms , Apartments ,1362 sq.ft
Kuala-Lumpur,     Desa ParkCity    ,    RM 2 600 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1377 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 970 000     , 5 Bedrooms , 3 Bathrooms , Houses ,1540 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 358 888     , 3 Bedrooms , 2 Bathrooms , Apartments ,1116 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 425 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,902 sq.ft
Kuala-Lumpur,     Bandar Menjalara    ,    RM 420 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,1076 sq.ft
Kuala-Lumpur,     Others    ,    RM 330 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,903 sq.ft
Kuala-Lumpur,     Kuchai Lama    ,    RM 215 000     , 2 Bedrooms , 1 Bathroom , Apartments ,720 sq.ft
Kuala-Lumpur,     Bandar Tasik Selatan    ,    RM 300 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,854 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 798 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1760 sq.ft
Kuala-Lumpur,     OUG    ,    RM 247 000     , 2 Bedrooms , 1 Bathroom , Apartments ,775 sq.ft
Kuala-Lumpur,     Pandan Indah    ,    RM 170 000     , 2 Bedrooms , 1 Bathroom , Apartments ,600 sq.ft
Kuala-Lumpur,     Sungai Besi    ,    RM 2 480 000     , 5 Bedrooms , 5 Bathrooms , Houses ,4435 sq.ft
Kuala-Lumpur,     Pandan Jaya    ,    RM 515 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1100 sq.ft
Kuala-Lumpur,     Puchong    ,    RM 188 888     , 3 Bedrooms , 2 Bathrooms , Apartments ,760 sq.ft
Kuala-Lumpur,     Sri Damansara    ,    RM 138 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,650 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 500 000     , 4 Bedrooms , 4 Bathrooms , Houses ,2800 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 380 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,943 sq.ft
Kuala-Lumpur,     Bandar Tasik Selatan    ,    RM 290 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,854 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 660 000     , 4 Bedrooms , 3 Bathrooms , Apartments ,1200 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 250 000     , 2 Bedrooms , 1 Bathroom , Apartments ,550 sq.ft
Kuala-Lumpur,     Taman Desa    ,    RM 240 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,624 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 369 990     , 3 Bedrooms , 2 Bathrooms , Apartments ,1100 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 270 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,850 sq.ft
Kuala-Lumpur,     Pandan Jaya    ,    RM 482 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1040 sq.ft
Kuala-Lumpur,     Pandan Indah    ,    RM 420 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,890 sq.ft
Kuala-Lumpur,     Gombak    ,    RM 200 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,653 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 390 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,701 sq.ft
Kuala-Lumpur,     Old Klang Road    ,    RM 160 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,752 sq.ft
Kuala-Lumpur,     Sungai Besi    ,    RM 650 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1121 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 430 000     , 4 Bedrooms , 2 Bathrooms , Houses ,600 sq.ft
Kuala-Lumpur,     Pandan Jaya    ,    RM 160 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,820 sq.ft
Kuala-Lumpur,     Segambut    ,    RM 350 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1008 sq.ft
Kuala-Lumpur,     Keramat    ,    RM 620 000     , 4 Bedrooms , 4 Bathrooms , Houses ,1800 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 718 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,2061 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 473 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1075 sq.ft
Kuala-Lumpur,     Pandan Jaya    ,    RM 155 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,520 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 220 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,650 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 380 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1016 sq.ft
Kuala-Lumpur,     Jalan Kuching    ,    RM 580 000     , 3 Bedrooms , 2 Bathrooms , Houses ,1540 sq.ft
Kuala-Lumpur,     Desa Petaling    ,    RM 288 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,960 sq.ft
Kuala-Lumpur,     Setiawangsa    ,    RM 570 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1450 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 200 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,650 sq.ft
Kuala-Lumpur,     Mont Kiara    ,    RM 1 800 000     , 5 Bedrooms , 5 Bathrooms , Houses ,4500 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 388 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1206 sq.ft
Kuala-Lumpur,     Desa Pandan    ,    RM 338 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,950 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 488 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1000 sq.ft
Kuala-Lumpur,     Ampang Hilir    ,    RM 390 000     , 1 Bedroom , 1 Bathroom , Apartments ,418 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 410 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1310 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 500 000     , 3 Bedrooms , 3 Bathrooms , Apartments ,1023 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 450 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1050 sq.ft
Kuala-Lumpur,     Jalan Ipoh    ,    RM 390 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1180 sq.ft
Kuala-Lumpur,     Taman Melawati    ,    RM 1 715 250     , 6 Bedrooms , 5 Bathrooms , Houses ,4820 sq.ft
Kuala-Lumpur,     Taman Desa    ,    RM 295 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,918 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 260 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,862 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 1 170 000     , 7 Bedrooms , 6 Bathrooms , Houses ,4620 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 340 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,950 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 1 250 000     , 5 Bedrooms , 4 Bathrooms , Houses ,2800 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 230 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,650 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 338 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1008 sq.ft
Kuala-Lumpur,     Pandan Jaya    ,    RM 268 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,860 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 540 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1280 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 275 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,862 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 168 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,873 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 460 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1018 sq.ft
Kuala-Lumpur,     Sri Petaling    ,    RM 310 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,1125 sq.ft
Kuala-Lumpur,     Sri Petaling    ,    RM 538 000     , 4 Bedrooms , 2 Bathrooms , Houses ,1540 sq.ft
Kuala-Lumpur,     Jalan Ipoh    ,    RM 245 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,869 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 390 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1016 sq.ft
Kuala-Lumpur,     Setiawangsa    ,    RM 315 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,952 sq.ft
Kuala-Lumpur,     Wangsa Maju    ,    RM 450 000     , 3 Bedrooms , 3 Bathrooms , Houses ,880 sq.ft
Kuala-Lumpur,     Pandan Perdana    ,    RM 295 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1078 sq.ft
Kuala-Lumpur,     City Centre    ,    RM 310 000     , 1 Bedroom , 1 Bathroom , Apartments ,439 sq.ft
Kuala-Lumpur,     Bangsar South    ,    RM 670 000     , 1 Bedroom , 2 Bathrooms , Apartments ,1300 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 780 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1540 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 868 000     , 4 Bedrooms , 3 Bathrooms , Houses ,1650 sq.ft
Kuala-Lumpur,     Keramat    ,    RM 290 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,900 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 409 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,998 sq.ft
Kuala-Lumpur,     Ampang Hilir    ,    RM 160 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,709 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 280 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1200 sq.ft
Kuala-Lumpur,     Segambut    ,    RM 340 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,818 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 298 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1001 sq.ft
Kuala-Lumpur,     Taman Melawati    ,    RM 400 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1187 sq.ft
Kuala-Lumpur,     KLCC    ,    RM 1 200 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,850 sq.ft
Kuala-Lumpur,     Old Klang Road    ,    RM 325 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1170 sq.ft
Kuala-Lumpur,     Ampang Hilir    ,    RM 425 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,908 sq.ft
Kuala-Lumpur,     Bangsar South    ,    RM 218 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,800 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 390 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1272 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 990 000     , 5 Bedrooms , 4 Bathrooms , Houses ,2805 sq.ft
Kuala-Lumpur,     Desa Pandan    ,    RM 365 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,950 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 348 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,850 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 540 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1427 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 450 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1142 sq.ft
Kuala-Lumpur,     Titiwangsa    ,    RM 725 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1066 sq.ft
Kuala-Lumpur,     Sungai Besi    ,    RM 405 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,782 sq.ft
Kuala-Lumpur,     Old Klang Road    ,    RM 390 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1425 sq.ft
Kuala-Lumpur,     Jalan Ampang    ,    RM 874 800     , 3 Bedrooms , 2 Bathrooms , Apartments ,990 sq.ft
Kuala-Lumpur,     Old Klang Road    ,    RM 500 000     , 4 Bedrooms , 3 Bathrooms , Apartments ,1385 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 380 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1059 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 440 000     , 3 Bedrooms , 2 Bathrooms , Houses ,1470 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 175 000     , 2 Bedrooms , 1 Bathroom , Apartments ,562 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 380 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,830 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 399 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,830 sq.ft
Kuala-Lumpur,     Keramat    ,    RM 175 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,549 sq.ft
Kuala-Lumpur,     Damansara    ,    RM 375 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,850 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 235 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,800 sq.ft
Kuala-Lumpur,     Bandar Menjalara    ,    RM 430 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1076 sq.ft
Kuala-Lumpur,     Bangsar    ,    RM 285 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,860 sq.ft
Kuala-Lumpur,     Damansara    ,    RM 119 988     , 2 Bedrooms , 2 Bathrooms , Apartments ,485 sq.ft
Kuala-Lumpur,     Sri Hartamas    ,    RM 500 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,957 sq.ft
Kuala-Lumpur,     Desa Pandan    ,    RM 250 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,716 sq.ft
Kuala-Lumpur,     Sri Petaling    ,    RM 400 000     , 3 Bedrooms , 3 Bathrooms , Apartments ,1141 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 550 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1100 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 430 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1142 sq.ft
Kuala-Lumpur,     Bandar Tasik Selatan    ,    RM 260 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,893 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 300 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,820 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 230 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,800 sq.ft
Kuala-Lumpur,     Jalan Ipoh    ,    RM 545 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1216 sq.ft
Kuala-Lumpur,     Taman Desa    ,    RM 480 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,715 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 699 000     , 5 Bedrooms , 3 Bathrooms , Houses ,2500 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 180 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,657 sq.ft
Kuala-Lumpur,     Sri Petaling    ,    RM 400 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1141 sq.ft
Kuala-Lumpur,     Kepong    ,    RM 160 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,650 sq.ft
Kuala-Lumpur,     Bandar Menjalara    ,    RM 485 000     , 4 Bedrooms , 2 Bathrooms , Apartments ,1100 sq.ft
Kuala-Lumpur,     OUG    ,    RM 4 300 000     , 6 Bedrooms , 5 Bathrooms , Houses ,6000 sq.ft
